time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:27:49.745000,83433,1669,727000000,,0.600508994028,-0.189970046266,0.0266315053829,0.000133463440522,0.999999610474,0.000866555225626,0.000101591204609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.750000,83434,1669,747000000,,0.600508996157,-0.189970039238,0.026631503454,0.00013348031941,0.999999610457,0.000866571779772,0.000101598672713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.778000,83435,1669,767000000,,0.600508984826,-0.189970032762,0.0266315763593,0.000133478327876,0.999999610485,0.000866540909648,0.000101588608642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.807000,83436,1669,787000000,,0.600508992357,-0.189970037644,0.0266315735389,0.000133450679214,0.999999610491,0.000866536749649,0.000101605445343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.807000,83437,1669,807000000,,0.60050899666,-0.189970022621,0.0266315098462,0.000133462315969,0.99999961046,0.00086657139735,0.000101598149938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.840000,83438,1669,827000000,,0.600508986611,-0.18997003612,0.0266315157137,0.000133480048767,0.999999610461,0.000866568572913,0.000101587714544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.847000,83439,1669,847000000,,0.600508995056,-0.189970031447,0.0266315695417,0.000133452400212,0.999999610504,0.000866522283042,0.000101593444614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.878000,83440,1669,867000000,,0.600508997345,-0.189970024761,0.0266315683733,0.000133458565322,0.999999610488,0.00086653887131,0.000101599842321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.910000,83441,1669,887000000,,0.600508993347,-0.189970016458,0.0266315085813,0.000133470930005,0.999999610448,0.000866584530862,0.000101594705439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.910000,83442,1669,907000000,,0.600508987202,-0.189970035804,0.0266315123163,0.000133459623545,0.99999961045,0.000866582390313,0.000101606329503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.947000,83443,1669,927000000,,0.600508993156,-0.189970038502,0.0266315095945,0.000133457578571,0.99999961047,0.00086656165657,0.000101590412165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.947000,83444,1669,947000000,,0.600508995582,-0.189970032951,0.0266315074064,0.000133481305534,0.999999610455,0.000866573786172,0.000101599241979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.974000,83445,1669,967000000,,0.600508982518,-0.189970048655,0.0266315162174,0.000133491931077,0.999999610468,0.000866559022042,0.000101581364468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:49.987000,83446,1669,987000000,,0.600508992128,-0.189970051113,0.0266315107265,0.000133465400725,0.999999610466,0.000866562400454,0.000101605228242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.018000,83447,1670,7000000,,0.600508992298,-0.189970005502,0.0266315711971,0.000133454407581,0.999999610476,0.000866554246976,0.000101598529344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.049000,83448,1670,27000000,,0.600508995833,-0.18997000864,0.026631572588,0.00013344662362,0.999999610487,0.00086654319009,0.000101594553063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.049000,83449,1670,47000000,,0.60050899388,-0.189970046543,0.0266315057853,0.000133460489235,0.999999610475,0.000866554963409,0.00010159025307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.079000,83450,1670,67000000,,0.600508997158,-0.189970040338,0.0266315037022,0.000133477378747,0.999999610459,0.000866570149268,0.000101600405048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.087000,83451,1670,87000000,,0.600508985037,-0.189970032074,0.0266315765869,0.000133482228209,0.999999610483,0.000866542345498,0.000101588290852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.122000,83452,1670,107000000,,0.600508989577,-0.189970029668,0.0266315136167,0.000133452922064,0.999999610453,0.000866579981555,0.000101607422174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.152000,83453,1670,127000000,,0.600508991987,-0.189970031726,0.0266315134314,0.000133454911267,0.999999610462,0.000866569968536,0.000101595288383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.152000,83454,1670,147000000,,0.600508993808,-0.189970028079,0.0266315114076,0.000133481757092,0.999999610452,0.000866577305515,0.000101602834901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.174000,83455,1670,167000000,,0.600508988197,-0.189970024517,0.0266315740708,0.000133463262644,0.999999610499,0.000866528562748,0.000101580001432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.187000,83456,1670,187000000,,0.600508998393,-0.189970025387,0.0266315669932,0.000133442548211,0.999999610492,0.000866536007626,0.000101605983091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.217000,83457,1670,207000000,,0.600508991965,-0.189970020763,0.0266315085106,0.000133470602369,0.999999610453,0.000866578236484,0.000101590632758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.249000,83458,1670,227000000,,0.600508987966,-0.189970034304,0.0266315114706,0.000133469166952,0.999999610444,0.00086658725092,0.000101607981365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.249000,83459,1670,247000000,,0.60050899308,-0.189970039224,0.0266315101279,0.000133453157744,0.999999610471,0.000866560484788,0.000101589624714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.279000,83460,1670,267000000,,0.600508996576,-0.189970033782,0.0266315075925,0.000133479648922,0.999999610456,0.000866572690188,0.000101600889557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.287000,83461,1670,287000000,,0.600508982671,-0.18997004784,0.0266315164293,0.000133495921594,0.999999610466,0.000866560614886,0.000101580997415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.317000,83462,1670,307000000,,0.60050898641,-0.189970049526,0.026631571862,0.000133466539667,0.999999610481,0.000866544488831,0.00010161308875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.339000,83463,1670,327000000,,0.600508987062,-0.189970046762,0.0266315722952,0.000133467958909,0.999999610479,0.000866547553272,0.000101604737239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.359000,83464,1670,347000000,,0.600509000158,-0.189970001217,0.0266315699785,0.000133456100807,0.999999610479,0.000866549157904,0.000101602675606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.387000,83465,1670,367000000,,0.600508988433,-0.189970040763,0.0266315097439,0.00013346962733,0.999999610471,0.000866559531278,0.000101581271517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.426000,83466,1670,387000000,,0.600508997708,-0.189970041964,0.0266315022228,0.000133458458735,0.999999610464,0.000866566170654,0.00010160438915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:50.426000,83467,1670,407000000,,0.600508984012,-0.189970035535,0.02663157647,0.000133486253685,0.999999610487,0.000866538135514,0.000101585138276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
