time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:28:26.282000,85260,1706,267000000,,0.590983293625,-0.140691987394,0.0259453094816,0.00073968656866,0.999999431914,0.000736834584249,0.000214733464613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.288000,85261,1706,287000000,,0.590983290272,-0.140691984236,0.0259453672197,0.0007396973411,0.999999431944,0.000736787325732,0.000214716761281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.313000,85262,1706,307000000,,0.590983296114,-0.140692018049,0.0259453028167,0.000739701389959,0.999999431926,0.000736805056099,0.000214729424864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.338000,85263,1706,327000000,,0.590983295628,-0.140692014034,0.0259453020346,0.000739705864745,0.999999431915,0.000736816129226,0.000214726678598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.369000,85264,1706,347000000,,0.590983289649,-0.140691982265,0.0259453089934,0.000739705853953,0.999999431895,0.000736842795699,0.000214725688699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.369000,85265,1706,367000000,,0.590983292242,-0.140691991953,0.025945310793,0.000739682087789,0.999999431928,0.000736823025495,0.000214724356009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.399000,85266,1706,387000000,,0.590983292265,-0.140692006499,0.0259453103725,0.000739696910747,0.999999431922,0.000736815032793,0.000214728080418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.407000,85267,1706,407000000,,0.590983292252,-0.140692000822,0.0259453083738,0.000739708070463,0.999999431903,0.000736829684526,0.000214729133487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.440000,85268,1706,427000000,,0.590983289227,-0.140691991716,0.0259453697653,0.000739702121484,0.999999431941,0.000736785971581,0.00021472024616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.476000,85269,1706,447000000,,0.590983294766,-0.140691995338,0.0259453669872,0.000739682527836,0.999999431953,0.000736784867868,0.000214733554802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.476000,85270,1706,467000000,,0.590983290698,-0.140691991306,0.025945303004,0.000739697000317,0.9999994319,0.000736843331926,0.000214732992884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.507000,85271,1706,487000000,,0.590983291055,-0.140691999244,0.0259453068379,0.000739702733183,0.999999431917,0.000736819623012,0.000214715583782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.507000,85272,1706,507000000,,0.590983295207,-0.14069201277,0.0259453065478,0.000739696213635,0.999999431928,0.00073680686785,0.000214728857096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.540000,85273,1706,527000000,,0.590983294107,-0.140692007533,0.0259453054722,0.000739708422821,0.99999943191,0.000736820274036,0.00021472614655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.571000,85274,1706,547000000,,0.59098328556,-0.140692017464,0.0259453097553,0.000739729968629,0.999999431887,0.00073683046897,0.000214722426225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.571000,85275,1706,567000000,,0.590983290539,-0.140691974541,0.0259453658924,0.000739666342856,0.999999431949,0.000736806881441,0.000214732988962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.604000,85276,1706,587000000,,0.590983297117,-0.140691978462,0.0259453634874,0.000739668847809,0.999999431959,0.000736792365989,0.000214729090072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.607000,85277,1706,607000000,,0.590983296781,-0.140691973601,0.0259453617511,0.000739682881264,0.999999431939,0.000736804448489,0.000214730605398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.638000,85278,1706,627000000,,0.590983288409,-0.140692011829,0.0259453074658,0.000739716431325,0.999999431914,0.000736809788742,0.000214714577497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.660000,85279,1706,647000000,,0.590983295396,-0.140692013566,0.0259453021958,0.000739696835627,0.999999431922,0.000736813922194,0.000214731805477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.694000,85280,1706,667000000,,0.590983290583,-0.140691985882,0.0259453074678,0.000739698675829,0.999999431905,0.000736836599309,0.000214726323641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.694000,85281,1706,687000000,,0.590983292214,-0.140691992572,0.0259453104031,0.000739693851748,0.999999431918,0.000736824971131,0.000214721807595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.724000,85282,1706,707000000,,0.590983293091,-0.140692006914,0.0259453103514,0.000739690128683,0.999999431926,0.000736815225451,0.000214730341967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.727000,85283,1706,727000000,,0.590983291742,-0.140692001317,0.025945309101,0.000739710050105,0.999999431902,0.000736828630748,0.000214728204158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.752000,85284,1706,747000000,,0.590983289151,-0.140691990516,0.0259453697384,0.000739705107195,0.999999431937,0.000736788108293,0.000214719947355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.778000,85285,1706,767000000,,0.59098329337,-0.140691989887,0.0259453048868,0.000739676662558,0.999999431926,0.000736829510374,0.000214729089011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.805000,85286,1706,787000000,,0.59098329749,-0.140691992623,0.0259453036706,0.000739681740913,0.999999431926,0.000736825400339,0.000214726867284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.840000,85287,1706,807000000,,0.590983296574,-0.140691988906,0.0259453024306,0.000739696914547,0.999999431908,0.000736834284683,0.000214727803405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.840000,85288,1706,827000000,,0.590983287121,-0.140692007335,0.0259453116252,0.000739710410245,0.999999431918,0.000736810642023,0.000214714052707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.872000,85289,1706,847000000,,0.590983294501,-0.140692007562,0.0259453047248,0.000739692815891,0.999999431922,0.000736817961817,0.000214731886402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.872000,85290,1706,867000000,,0.590983286478,-0.140692021279,0.0259453084763,0.000739729757854,0.999999431892,0.000736824331938,0.00021472226952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.897000,85291,1706,887000000,,0.590983290654,-0.140691974694,0.0259453655534,0.000739675687649,0.999999431941,0.00073680954444,0.000214731246052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.907000,85292,1706,907000000,,0.590983297752,-0.140691979074,0.0259453636032,0.000739661020559,0.999999431965,0.000736791914215,0.000214731039222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.937000,85293,1706,927000000,,0.590983296179,-0.140691973797,0.0259453624483,0.00073968695935,0.999999431937,0.000736803921305,0.000214729383196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.958000,85294,1706,947000000,,0.590983288553,-0.140692010655,0.0259453072976,0.000739717794875,0.999999431912,0.000736811839752,0.000214714773515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.967000,85295,1706,967000000,,0.590983290151,-0.140692004333,0.0259453667034,0.000739689446133,0.999999431945,0.000736789595928,0.000214733050827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:26.992000,85296,1706,987000000,,0.590983292541,-0.140692002628,0.0259453656897,0.000739693711953,0.999999431938,0.000736794974109,0.000214731434416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.024000,85297,1707,7000000,,0.59098329594,-0.140691983095,0.0259453075791,0.000739696590465,0.999999431906,0.000736836360394,0.000214730425597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.058000,85298,1707,27000000,,0.59098328572,-0.140692002461,0.0259453152805,0.000739703068639,0.999999431917,0.000736817615944,0.000214718100441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.058000,85299,1707,47000000,,0.5909832924,-0.140692001873,0.0259453077089,0.00073968959372,0.999999431918,0.000736826082441,0.000214733495412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.084000,85300,1707,67000000,,0.590983289906,-0.140691994229,0.0259453686879,0.00073971088236,0.999999431937,0.000736782755001,0.000214718915667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.087000,85301,1707,87000000,,0.590983293716,-0.140691989766,0.0259453045718,0.000739683076231,0.999999431919,0.000736832376582,0.00021472840956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:28:27.122000,85302,1707,107000000,,0.590983297897,-0.140691993379,0.0259453039452,0.000739673963681,0.999999431932,0.000736824429082,0.000214728331179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
