time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:34:44.833000,126117,2084,830000000,FT_Top_Plate_right,-2.75912579691e-05,0.00073003351044,0.521578697106,-3.8530523156e-06,0.00351707026314,-5.0694632064e-06
1970/01/01/08:34:44.835000,126118,2084,835000000,FT_Top_Plate_right,-8.79982974337e-05,0.000584433696855,0.521964476951,-3.37429005082e-06,0.00352017911101,-3.81131934503e-06
1970/01/01/08:34:44.840000,126119,2084,840000000,FT_Top_Plate_right,-3.39379083029e-05,0.000729615215609,0.521580511857,-3.77937343824e-06,0.00351719272587,-5.08728856665e-06
1970/01/01/08:34:44.845000,126120,2084,845000000,FT_Top_Plate_right,-8.39246327589e-05,0.000613504377203,0.522000680671,-3.34250401311e-06,0.00352037038009,-4.0719350317e-06
1970/01/01/08:34:44.850000,126121,2084,850000000,FT_Top_Plate_right,-2.61627341515e-05,0.000717741520567,0.521582071867,-3.75258146289e-06,0.00351711708719,-4.97455089288e-06
1970/01/01/08:34:44.855000,126122,2084,855000000,FT_Top_Plate_right,-8.63222838258e-05,0.000584600830856,0.521967149336,-3.37994574279e-06,0.00352021554954,-3.76450632937e-06
1970/01/01/08:34:44.861000,126123,2084,860000000,FT_Top_Plate_right,-4.37217120867e-05,0.000646112810459,0.521869895772,-3.66073874327e-06,0.00351920305425,-4.41464381782e-06
1970/01/01/08:34:44.865000,126124,2084,865000000,FT_Top_Plate_right,-5.52882458942e-05,0.000643931627235,0.521874712579,-3.55659149869e-06,0.00351932370669,-4.26094314975e-06
1970/01/01/08:34:44.870000,126125,2084,870000000,FT_Top_Plate_right,-9.55907111409e-05,0.000561476829118,0.522140693072,-3.31351956902e-06,0.00352126555333,-3.81172412847e-06
1970/01/01/08:34:44.875000,126126,2084,875000000,FT_Top_Plate_right,-2.89338225995e-05,0.000729508085803,0.521576903047,-3.85811839854e-06,0.00351704691587,-4.84219539775e-06
1970/01/01/08:34:44.886000,126127,2084,880000000,FT_Top_Plate_right,-8.88791035898e-05,0.000587316216123,0.521963598466,-3.39799889502e-06,0.00352016220256,-3.98663563005e-06
1970/01/01/08:34:44.886000,126128,2084,885000000,FT_Top_Plate_right,-4.48872378357e-05,0.000644840025186,0.521868785814,-3.64749039821e-06,0.00351918819782,-4.26393358929e-06
1970/01/01/08:34:44.886000,126129,2084,890000000,FT_Top_Plate_right,-5.42713606027e-05,0.0006457978034,0.521876316182,-3.56516444455e-06,0.00351935223671,-4.48895814353e-06
1970/01/01/08:34:44.894000,126130,2084,895000000,FT_Top_Plate_right,-9.31521795444e-05,0.000561883658506,0.522143874427,-3.321608338e-06,0.00352131781285,-3.63955964549e-06
1970/01/01/08:34:44.900000,126131,2084,900000000,FT_Top_Plate_right,-2.65652416475e-05,0.000731195261551,0.521580102058,-3.87392851402e-06,0.00351709324424,-4.85293905223e-06
1970/01/01/08:34:44.905000,126132,2084,905000000,FT_Top_Plate_right,-8.77303859349e-05,0.000587959486564,0.521965443334,-3.40307826057e-06,0.00352018156222,-3.99475714775e-06
1970/01/01/08:34:44.910000,126133,2084,910000000,FT_Top_Plate_right,-5.58007551505e-05,0.000646056658354,0.521866309276,-3.57875079594e-06,0.00351927779286,-4.28478022104e-06
1970/01/01/08:34:44.915000,126134,2084,915000000,FT_Top_Plate_right,-9.39908228436e-05,0.000560016428888,0.522142184873,-3.29258834991e-06,0.00352130633854,-3.83869558592e-06
1970/01/01/08:34:44.920000,126135,2084,920000000,FT_Top_Plate_right,-2.64418014878e-05,0.000726618959705,0.521582166317,-3.82189275378e-06,0.00351711879908,-4.85389485436e-06
1970/01/01/08:34:44.925000,126136,2084,925000000,FT_Top_Plate_right,-8.63352619837e-05,0.000585904383781,0.521968471241,-3.38317671915e-06,0.00352022149253,-3.96870305784e-06
1970/01/01/08:34:44.930000,126137,2084,930000000,FT_Top_Plate_right,-5.44145121337e-05,0.000646773701778,0.521868081354,-3.58996332337e-06,0.00351930651019,-4.24477323252e-06
1970/01/01/08:34:44.935000,126138,2084,935000000,FT_Top_Plate_right,-7.94217125625e-05,0.000643068813699,0.521819945981,-3.45699892723e-06,0.00351927532123,-4.42807565111e-06
1970/01/01/08:34:44.939000,126139,2084,940000000,FT_Top_Plate_right,-6.68494234357e-05,0.000614296907843,0.522021734218,-3.42330032047e-06,0.00352031102376,-4.08551975669e-06
1970/01/01/08:34:44.945000,126140,2084,945000000,FT_Top_Plate_right,-2.83802019883e-05,0.000732014177514,0.521572658052,-3.88324489764e-06,0.00351702508962,-5.02342483079e-06
1970/01/01/08:34:44.950000,126141,2084,950000000,FT_Top_Plate_right,-8.8913256128e-05,0.000587971524891,0.521963726082,-3.41436700524e-06,0.00352015532081,-3.77762280134e-06
1970/01/01/08:34:44.955000,126142,2084,955000000,FT_Top_Plate_right,-5.68662603969e-05,0.000649220307551,0.521864741766,-3.6035885964e-06,0.00351925783367,-4.4714924796e-06
1970/01/01/08:34:44.960000,126143,2084,960000000,FT_Top_Plate_right,-6.73376134255e-05,0.000615798235083,0.522016219274,-3.43765754063e-06,0.00352030707767,-4.10405874361e-06
1970/01/01/08:34:44.965000,126144,2084,965000000,FT_Top_Plate_right,-2.59126863529e-05,0.00073062616775,0.521576813889,-3.86090476553e-06,0.00351709919044,-5.05925147338e-06
1970/01/01/08:34:44.970000,126145,2084,970000000,FT_Top_Plate_right,-8.57541095089e-05,0.000585349611966,0.521970705565,-3.38260886063e-06,0.00352024261118,-3.80407246848e-06
1970/01/01/08:34:44.975000,126146,2084,975000000,FT_Top_Plate_right,-5.45858447202e-05,0.000648086159282,0.521869491245,-3.59252642924e-06,0.00351931324793,-4.47189407711e-06
1970/01/01/08:34:44.980000,126147,2084,980000000,FT_Top_Plate_right,-8.41277768271e-05,0.000614225761752,0.521999141669,-3.34877068605e-06,0.00352035035528,-4.26465082722e-06
1970/01/01/08:34:44.985000,126148,2084,985000000,FT_Top_Plate_right,-8.25143292209e-05,0.000602006204588,0.522013671467,-3.2424931148e-06,0.00352044606455,-4.00806138446e-06
1970/01/01/08:34:44.990000,126149,2084,990000000,FT_Top_Plate_right,-6.55364125258e-05,0.000711117426272,0.521499708697,-3.55863368943e-06,0.00351696701032,-4.93568277717e-06
1970/01/01/08:34:44.995000,126150,2084,995000000,FT_Top_Plate_right,-8.82545920947e-05,0.000587326019302,0.521972310183,-3.4372893662e-06,0.00352021659654,-3.72933910552e-06
1970/01/01/08:34:45.000000,126151,2085,0,FT_Top_Plate_right,-5.68865385227e-05,0.000650951737174,0.521864643594,-3.62031105799e-06,0.00351925236157,-4.44369317624e-06
1970/01/01/08:34:45.005000,126152,2085,5000000,FT_Top_Plate_right,-8.57153239126e-05,0.000612161448151,0.521997189325,-3.32809716621e-06,0.00352032460542,-4.07565107178e-06
1970/01/01/08:34:45.010000,126153,2085,10000000,FT_Top_Plate_right,-8.24561522498e-05,0.000601393469121,0.52201472819,-3.22569873812e-06,0.00352046236139,-4.22850080082e-06
1970/01/01/08:34:45.016000,126154,2085,15000000,FT_Top_Plate_right,-6.38336799208e-05,0.000709218812961,0.521502674815,-3.54499460811e-06,0.00351701279121,-4.76763994419e-06
1970/01/01/08:34:45.020000,126155,2085,20000000,FT_Top_Plate_right,-8.59946402323e-05,0.000589535962785,0.521975445547,-3.45618813809e-06,0.00352026453636,-3.94422120139e-06
1970/01/01/08:34:45.025000,126156,2085,25000000,FT_Top_Plate_right,-5.55166200822e-05,0.000659265730493,0.521866434329,-3.6904129499e-06,0.00351927604855,-4.33579236909e-06
1970/01/01/08:34:45.030000,126157,2085,30000000,FT_Top_Plate_right,-8.55282716249e-05,0.000614429098124,0.5219973414,-3.34498631803e-06,0.00352032130012,-4.29235437509e-06
1970/01/01/08:34:45.035000,126158,2085,35000000,FT_Top_Plate_right,-6.3708082738e-05,0.000700617385087,0.521500913048,-3.48529135216e-06,0.00351698482861,-4.7099912653e-06
1970/01/01/08:34:45.040000,126159,2085,40000000,FT_Top_Plate_right,-8.61144269977e-05,0.000585752646735,0.521976585653,-3.41142326213e-06,0.00352027487472,-3.95793899791e-06
1970/01/01/08:34:45.045000,126160,2085,45000000,FT_Top_Plate_right,-5.44938795746e-05,0.000647136352251,0.521869327094,-3.58633743651e-06,0.00351931522499,-4.26239519545e-06
1970/01/01/08:34:45.051000,126161,2085,50000000,FT_Top_Plate_right,-8.3878223459e-05,0.000613555285448,0.522000206069,-3.33825597434e-06,0.00352036322011,-4.25156470732e-06
1970/01/01/08:34:45.055000,126162,2085,55000000,FT_Top_Plate_right,-2.6019337743e-05,0.000725675756013,0.521580163524,-3.82368588129e-06,0.00351710033768,-4.83160093251e-06
1970/01/01/08:34:45.060000,126163,2085,60000000,FT_Top_Plate_right,-2.49572064189e-05,0.00072465021198,0.521590178429,-3.79886688595e-06,0.00351714228894,-5.05044336722e-06
1970/01/01/08:34:45.065000,126164,2085,65000000,FT_Top_Plate_right,-9.38192073176e-05,0.000560133032287,0.522144668509,-3.26509540324e-06,0.00352130765708,-3.65738363634e-06
1970/01/01/08:34:45.070000,126165,2085,70000000,FT_Top_Plate_right,-5.67737392223e-05,0.000652668534494,0.521864235715,-3.64557855154e-06,0.00351924890306,-4.43556301439e-06
1970/01/01/08:34:45.075000,126166,2085,75000000,FT_Top_Plate_right,-8.64606115033e-05,0.000604310874741,0.521996002912,-3.27834459043e-06,0.00352030341725,-3.99703815766e-06
1970/01/01/08:34:45.080000,126167,2085,80000000,FT_Top_Plate_right,-2.79491794718e-05,0.00072725078285,0.521577917819,-3.82734275881e-06,0.00351706829133,-5.06604935502e-06
1970/01/01/08:34:45.085000,126168,2085,85000000,FT_Top_Plate_right,-2.48221548584e-05,0.000724839886937,0.521590798421,-3.79520211939e-06,0.00351715501492,-5.09042409617e-06
1970/01/01/08:34:45.090000,126169,2085,90000000,FT_Top_Plate_right,-9.1780772546e-05,0.000561433502449,0.522147478141,-3.27556002322e-06,0.00352135432428,-3.68229488896e-06
1970/01/01/08:34:45.095000,126170,2085,95000000,FT_Top_Plate_right,-5.41817798848e-05,0.000654511207556,0.52186765277,-3.66296926044e-06,0.00351930106777,-4.44857234927e-06
1970/01/01/08:34:45.100000,126171,2085,100000000,FT_Top_Plate_right,-8.47618953531e-05,0.000605399132371,0.521998443588,-3.28808650262e-06,0.00352033460296,-4.00611472027e-06
1970/01/01/08:34:45.105000,126172,2085,105000000,FT_Top_Plate_right,-2.76749422329e-05,0.000727212945475,0.521578619209,-3.82528835947e-06,0.0035170698278,-5.07120049051e-06
1970/01/01/08:34:45.110000,126173,2085,110000000,FT_Top_Plate_right,-9.29218962442e-05,0.000560165594827,0.522142973142,-3.26154666612e-06,0.00352132066102,-3.68570086857e-06
1970/01/01/08:34:45.115000,126174,2085,115000000,FT_Top_Plate_right,-5.44689960116e-05,0.00064994192155,0.52186827518,-3.61051666506e-06,0.00351931096312,-4.4558607918e-06
1970/01/01/08:34:45.120000,126175,2085,120000000,FT_Top_Plate_right,-8.41601322085e-05,0.000619813949655,0.522000788575,-3.38398587877e-06,0.00352036538452,-4.12195206758e-06
1970/01/01/08:34:45.125000,126176,2085,125000000,FT_Top_Plate_right,-2.6183424335e-05,0.000727011643573,0.521581002115,-3.82619968748e-06,0.00351710674266,-5.03373784059e-06
1970/01/01/08:34:45.130000,126177,2085,130000000,FT_Top_Plate_right,-8.64851198728e-05,0.000584334175437,0.521965871905,-3.38065066457e-06,0.00352020919221,-3.76054695902e-06
