time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:36:00.039000,107948,2160,27000000,,0.560251832774,0.299389472355,0.0243111876842,0.000307272700638,0.999999855879,0.000236069065543,-0.000371614906532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.069000,107949,2160,47000000,,0.560251829959,0.299389480245,0.0243111500057,0.000307258544519,0.999999855874,0.000236085894301,-0.000371628096506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.069000,107950,2160,67000000,,0.560251836722,0.299389479775,0.0243111432686,0.000307251396943,0.999999855881,0.000236076382433,-0.00037162180202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.101000,107951,2160,87000000,,0.560251835639,0.299389477537,0.0243111438281,0.00030725280257,0.999999855879,0.000236075677968,-0.000371627407565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.107000,107952,2160,107000000,,0.560251836232,0.299389465859,0.0243111493515,0.000307273454102,0.999999855873,0.000236066303346,-0.000371631997965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.141000,107953,2160,127000000,,0.560251839845,0.299389463412,0.0243111460623,0.000307264986893,0.999999855878,0.000236067373104,-0.000371625263396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.171000,107954,2160,147000000,,0.560251827508,0.299389486749,0.0243111601001,0.000307262174439,0.999999855874,0.000236086601756,-0.000371625202843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.171000,107955,2160,167000000,,0.560251832219,0.299389485833,0.0243111540347,0.00030725190618,0.999999855879,0.000236084438135,-0.000371621619551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.199000,107956,2160,187000000,,0.56025182636,0.299389497638,0.0243111839651,0.000307239838567,0.999999855894,0.000236065066941,-0.000371604292238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.207000,107957,2160,207000000,,0.560251824426,0.299389495794,0.0243111839668,0.000307240677372,0.999999855891,0.00023606604685,-0.000371609352513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.229000,107958,2160,227000000,,0.560251838224,0.299389463409,0.0243111455714,0.000307273632691,0.999999855872,0.000236066997353,-0.000371634320882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.265000,107959,2160,247000000,,0.560251826644,0.299389486916,0.0243111523377,0.000307251472024,0.999999855877,0.000236084840753,-0.000371628025863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.293000,107960,2160,267000000,,0.560251833851,0.29938948595,0.0243111470601,0.000307250467178,0.999999855881,0.000236082201597,-0.000371619461315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.293000,107961,2160,287000000,,0.56025183154,0.299389483354,0.0243111486727,0.000307251468334,0.999999855878,0.000236080467728,-0.000371627251178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.326000,107962,2160,307000000,,0.560251834614,0.299389470194,0.0243111561999,0.00030727070311,0.999999855873,0.000236070493779,-0.000371629509263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.327000,107963,2160,327000000,,0.560251838143,0.299389467001,0.0243111536095,0.000307262376795,0.999999855878,0.000236069580629,-0.000371624159499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.356000,107964,2160,347000000,,0.560251835163,0.299389472866,0.0243111868792,0.000307274639793,0.99999985588,0.000236068307822,-0.000371610916853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.390000,107965,2160,367000000,,0.560251832809,0.299389480319,0.0243111487967,0.000307254801666,0.999999855877,0.0002360857422,-0.000371624465294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:36:00.390000,107966,2160,387000000,,0.560251836096,0.299389478712,0.0243111430281,0.000307254194176,0.99999985588,0.000236075428965,-0.000371623179674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
