time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:36:00.038000,138690,2160,35000000,FT_Top_Plate_right,0.000408497442133,0.000202849136413,0.522098770298,-2.24950799911e-06,0.0035230445604,-1.53003484124e-06
1970/01/01/08:36:00.039000,138691,2160,40000000,FT_Top_Plate_right,0.000358862737534,0.000359539846826,0.521382847105,4.00170039186e-07,0.00351910569556,-2.3446369471e-06
1970/01/01/08:36:00.045000,138692,2160,45000000,FT_Top_Plate_right,0.000405057363293,0.000191036511836,0.522083802335,-2.28567198984e-06,0.00352306618622,-9.81327350074e-07
1970/01/01/08:36:00.049000,138693,2160,50000000,FT_Top_Plate_right,0.000404745623909,0.000191627616432,0.522088148013,-2.30846904276e-06,0.00352308807488,-1.20023737627e-06
1970/01/01/08:36:00.055000,138694,2160,55000000,FT_Top_Plate_right,0.000361735631463,0.000349484021551,0.521441892453,1.12228442251e-07,0.003519475609,-2.69456423717e-06
1970/01/01/08:36:00.059000,138695,2160,60000000,FT_Top_Plate_right,0.000409461204306,0.000200073538428,0.522098813725,-2.23687486555e-06,0.00352305339877,-1.09300563676e-06
1970/01/01/08:36:00.067000,138696,2160,65000000,FT_Top_Plate_right,0.000359969844635,0.000359738804317,0.521382914488,3.96560969445e-07,0.00351911590057,-2.35358820799e-06
1970/01/01/08:36:00.069000,138697,2160,70000000,FT_Top_Plate_right,0.000406007074046,0.000191446989299,0.522083967225,-2.28897215987e-06,0.00352307470677,-9.83760962654e-07
1970/01/01/08:36:00.075000,138698,2160,75000000,FT_Top_Plate_right,0.000362448177993,0.000347990694524,0.521446281574,1.32667322876e-07,0.00351951983388,-2.67081178177e-06
1970/01/01/08:36:00.080000,138699,2160,80000000,FT_Top_Plate_right,0.000409667152314,0.000201741943864,0.522102469379,-2.23936241716e-06,0.00352308409727,-1.52618517447e-06
1970/01/01/08:36:00.085000,138700,2160,85000000,FT_Top_Plate_right,0.000359605842455,0.00036246020068,0.521383759696,3.7810259263e-07,0.00351911549472,-2.81067749026e-06
1970/01/01/08:36:00.090000,138701,2160,90000000,FT_Top_Plate_right,0.000405171180834,0.000191796441565,0.522081872434,-2.29471851928e-06,0.00352304739942,-9.97117449806e-07
1970/01/01/08:36:00.094000,138702,2160,95000000,FT_Top_Plate_right,0.000389441782343,0.000271259870553,0.521765325076,-1.1028079996e-06,0.00352122286108,-1.61777358517e-06
1970/01/01/08:36:00.100000,138703,2160,100000000,FT_Top_Plate_right,0.000392847194369,0.000251702956351,0.521842539523,-1.42805407046e-06,0.00352168026413,-1.70209394287e-06
1970/01/01/08:36:00.105000,138704,2160,105000000,FT_Top_Plate_right,0.000419922734779,0.000159483736364,0.522258037831,-2.91983919156e-06,0.00352388846702,-1.17619838345e-06
1970/01/01/08:36:00.110000,138705,2160,110000000,FT_Top_Plate_right,0.000359751966667,0.000363984967858,0.521380547855,3.57134519158e-07,0.00351910120858,-2.79278108121e-06
1970/01/01/08:36:00.115000,138706,2160,115000000,FT_Top_Plate_right,0.000405014376411,0.000192698913919,0.522081188086,-2.30100463448e-06,0.00352304577816,-9.86723931319e-07
1970/01/01/08:36:00.120000,138707,2160,120000000,FT_Top_Plate_right,0.00039265966165,0.000250307627674,0.52184320307,-1.40101979641e-06,0.00352169262117,-1.47306540186e-06
1970/01/01/08:36:00.124000,138708,2160,125000000,FT_Top_Plate_right,0.000420185710746,0.000155231260676,0.522262842025,-2.88738579706e-06,0.00352393304183,-7.2841230006e-07
1970/01/01/08:36:00.130000,138709,2160,130000000,FT_Top_Plate_right,0.000360243413546,0.000363314165812,0.521383769869,3.5910432351e-07,0.0035191317747,-2.80049143899e-06
1970/01/01/08:36:00.135000,138710,2160,135000000,FT_Top_Plate_right,0.000405267654361,0.000196137265473,0.522080724513,-2.32393637699e-06,0.00352304237313,-1.46790878757e-06
1970/01/01/08:36:00.140000,138711,2160,140000000,FT_Top_Plate_right,0.000392635324562,0.000251090049517,0.521841475344,-1.41049865533e-06,0.00352167459711,-1.48651302417e-06
1970/01/01/08:36:00.144000,138712,2160,145000000,FT_Top_Plate_right,0.000392464851893,0.000229482031984,0.521929465355,-1.57636967539e-06,0.00352226731708,-1.27911842754e-06
1970/01/01/08:36:00.150000,138713,2160,150000000,FT_Top_Plate_right,0.000403575345961,0.000228331177999,0.52198606932,-1.7687554901e-06,0.00352234982851,-1.29901978363e-06
1970/01/01/08:36:00.155000,138714,2160,155000000,FT_Top_Plate_right,0.000360482056448,0.000363646099,0.521382365475,3.15592014265e-07,0.00351912596932,-2.76928460799e-06
1970/01/01/08:36:00.160000,138715,2160,160000000,FT_Top_Plate_right,0.000406358173501,0.000196911743522,0.522078068346,-2.33544304605e-06,0.00352303802035,-1.43774406728e-06
1970/01/01/08:36:00.165000,138716,2160,165000000,FT_Top_Plate_right,0.000393095629901,0.000251131376171,0.521841619053,-1.40880429169e-06,0.00352168151045,-1.47642124427e-06
1970/01/01/08:36:00.170000,138717,2160,170000000,FT_Top_Plate_right,0.000392359230788,0.00023219115625,0.521931010696,-1.59225861274e-06,0.00352227561655,-1.31637723642e-06
1970/01/01/08:36:00.175000,138718,2160,175000000,FT_Top_Plate_right,0.000403571820681,0.000227870660098,0.52198740788,-1.76387734599e-06,0.00352235735593,-1.32449645213e-06
