time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:25:58.737000,77882,1558,707000000,,0.650372224977,-0.190142676894,0.0261166683156,0.000196985919317,0.999999793655,0.00061048876352,3.44912142864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.738000,77883,1558,727000000,,0.650372230019,-0.190142679019,0.0261166621047,0.000196983288819,0.999999793653,0.000610492098026,3.4502427123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.771000,77884,1558,747000000,,0.650372218345,-0.190142692526,0.0261166709199,0.000197023052308,0.999999793652,0.000610482920679,3.44799231162e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.771000,77885,1558,767000000,,0.650372222099,-0.190142707664,0.0261166678547,0.000197006174911,0.999999793649,0.000610490761721,3.45059774269e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.806000,77886,1558,787000000,,0.650372224443,-0.190142707972,0.0261166686271,0.000197002681852,0.999999793651,0.000610489286306,3.45036218629e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.807000,77887,1558,807000000,,0.650372229063,-0.190142665003,0.0261166712344,0.000197001831203,0.999999793642,0.000610503651912,3.45078785478e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.832000,77888,1558,827000000,,0.650372224746,-0.190142658348,0.0261167359594,0.00019697993182,0.999999793673,0.000610462047387,3.44931667362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.865000,77889,1558,847000000,,0.650372225176,-0.190142698478,0.026116664257,0.000196998762134,0.999999793662,0.000610473924537,3.44928573147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.892000,77890,1558,867000000,,0.650372228573,-0.190142691736,0.0261166619786,0.000197002151644,0.99999979365,0.000610491665348,3.44997465102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:25:58.892000,77891,1558,887000000,,0.650372225022,-0.190142661769,0.0261166689972,0.00019699742769,0.99999979364,0.000610509994016,3.45004920524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
