time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:35:21.564000,106023,2121,527000000,,0.580474834175,-0.159821343293,0.026857173446,5.28752648114e-05,0.999999551366,0.000945143591707,3.42895539994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.564000,106024,2121,547000000,,0.580474822359,-0.159821361899,0.0268571808919,5.28766518223e-05,0.999999551383,0.000945126369509,3.42729295791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.587000,106025,2121,567000000,,0.580474832508,-0.159821362162,0.0268571736385,5.28616066947e-05,0.999999551374,0.000945134988975,3.42980768863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.587000,106026,2121,587000000,,0.580474818524,-0.159821362134,0.0268572370866,5.28905538109e-05,0.999999551393,0.000945114461346,3.42825289026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.619000,106027,2121,607000000,,0.580474830712,-0.159821348786,0.0268571713369,5.28594320322e-05,0.999999551356,0.000945154798312,3.42984100545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.627000,106028,2121,627000000,,0.580474833284,-0.159821354377,0.0268571713273,5.28446238606e-05,0.999999551379,0.000945131583807,3.42805201084e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.658000,106029,2121,647000000,,0.580474836579,-0.159821349756,0.0268571689103,5.28753747937e-05,0.999999551368,0.000945141657575,3.42920064466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.685000,106030,2121,667000000,,0.580474824451,-0.159821364429,0.026857177819,5.28882251922e-05,0.999999551384,0.00094512433587,3.42690873804e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.716000,106031,2121,687000000,,0.580474829883,-0.159821381094,0.0268571741123,5.28757773751e-05,0.99999955138,0.000945128167717,3.4296106162e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:35:21.716000,106032,2121,707000000,,0.580474829019,-0.159821376796,0.0268571748248,5.28763954282e-05,0.999999551373,0.000945136005983,3.42875856989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
