time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:22:03.912000,66141,1323,887000000,,0.170141965915,-0.754715299802,0.0591291911775,0.409211002211,0.844043983322,-0.2491067546,-0.241001939205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:03.919000,66142,1323,907000000,,0.170141972593,-0.754715294406,0.0591291696956,0.409211101667,0.844043952531,-0.249106761261,-0.241001871284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:03.948000,66143,1323,927000000,,0.170141966478,-0.75471528875,0.0591291839977,0.409211057397,0.844043968156,-0.249106743177,-0.241001910424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:03.948000,66144,1323,947000000,,0.170141992503,-0.754715289165,0.0591291728886,0.409211028651,0.844043977825,-0.249106769807,-0.241001897845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:03.974000,66145,1323,967000000,,0.17014201281,-0.754715273818,0.059129263199,0.409211080787,0.844043954903,-0.249106781843,-0.241001877156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:03.987000,66146,1323,987000000,,0.170141925902,-0.754715337467,0.0591292376352,0.409211000408,0.844043950499,-0.249106839201,-0.241001969774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.019000,66147,1324,7000000,,0.170141981787,-0.754715303266,0.0591291731927,0.409211068498,0.844043957884,-0.249106781512,-0.241001887926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.045000,66148,1324,27000000,,0.170141984489,-0.754715289929,0.0591291813092,0.409211004543,0.84404398945,-0.249106751562,-0.241001916922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.077000,66149,1324,47000000,,0.170142000064,-0.754715284782,0.0591291788433,0.409211093353,0.844043944945,-0.249106788692,-0.241001883615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.077000,66150,1324,67000000,,0.170141971977,-0.754715288264,0.0591291882348,0.40921101707,0.844043978439,-0.249106755116,-0.241001930543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.111000,66151,1324,87000000,,0.170141978968,-0.754715292663,0.0591291728977,0.409211064041,0.844043961753,-0.24910676616,-0.241001897809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.111000,66152,1324,107000000,,0.170142007337,-0.75471527497,0.0591292602573,0.409211051789,0.844043977126,-0.249106753329,-0.241001878036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.140000,66153,1324,127000000,,0.170142002492,-0.754715281449,0.0591292667354,0.409211064451,0.844043961685,-0.249106781666,-0.241001881324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.147000,66154,1324,147000000,,0.170141990891,-0.754715288077,0.0591291563662,0.409211023978,0.844043990126,-0.249106748732,-0.241001884482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:22:04.181000,66155,1324,167000000,,0.170141940371,-0.754715328835,0.0591292398469,0.409211036114,0.844043929282,-0.249106858132,-0.241001963884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
