time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:22:03.911000,15546,1323,904000000,FT_Top_Plate_right,0.105920863314,-0.322422009417,0.396633970995,0.001771099326,0.00325695506599,0.00217489776726
1970/01/01/08:22:03.911000,15547,1323,909000000,FT_Top_Plate_right,0.105924389656,-0.322307237567,0.396195868466,0.00177129351013,0.00325416338665,0.00217359337757
1970/01/01/08:22:03.914000,15548,1323,914000000,FT_Top_Plate_right,0.105893518266,-0.322402765133,0.396566875364,0.0017713985596,0.00325660554155,0.00217452310372
1970/01/01/08:22:03.919000,15549,1323,919000000,FT_Top_Plate_right,0.105931276576,-0.322431519291,0.396199198352,0.0017721504102,0.00325406963286,0.00217448491152
1970/01/01/08:22:03.924000,15550,1323,924000000,FT_Top_Plate_right,0.105912023737,-0.322473921048,0.396623986629,0.00177150260325,0.00325675998011,0.002175059108
1970/01/01/08:22:03.929000,15551,1323,929000000,FT_Top_Plate_right,0.105920854839,-0.322328660313,0.396189819139,0.00177145622326,0.00325408854199,0.00217363671894
1970/01/01/08:22:03.934000,15552,1323,934000000,FT_Top_Plate_right,0.105898078876,-0.322405087345,0.396569450901,0.00177139686184,0.0032566879873,0.0021745913134
1970/01/01/08:22:03.939000,15553,1323,939000000,FT_Top_Plate_right,0.105936244192,-0.322300443556,0.396207637517,0.00177116509152,0.00325419875424,0.00217360862402
1970/01/01/08:22:03.943000,15554,1323,944000000,FT_Top_Plate_right,0.105919894229,-0.322418253772,0.396632471072,0.00177105573327,0.00325690865931,0.00217480615333
1970/01/01/08:22:03.948000,15555,1323,949000000,FT_Top_Plate_right,0.105936783471,-0.322361327147,0.396496389001,0.00177109874767,0.00325596696095,0.00217397918128
1970/01/01/08:22:03.954000,15556,1323,954000000,FT_Top_Plate_right,0.105825835003,-0.317282394226,0.396394155229,0.00173333478153,0.00325458454109,0.00213676821599
1970/01/01/08:22:03.959000,15557,1323,959000000,FT_Top_Plate_right,0.105903909674,-0.322508386667,0.396760773947,0.00177178123602,0.00325766630566,0.00217485485868
